Ville;Corps;Activité;Produit;Année;Indice
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2005;100.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2006;101.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2007;109.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2008;107.6
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2009;107.9
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2010;114.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2011;116.9
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2012;119.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2013;121.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2014;122.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2015;123.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2016;119.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2017;121.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2018;120.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2019;123.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2020;119.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2021;124.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;2022;138.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2005;100.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2006;102.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2007;106.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2008;104.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2009;104.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2010;110.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2011;112.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2012;115.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2013;116.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2014;116.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2015;116.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2016;118.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2017;119.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2018;119.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2019;125.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2020;123.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2021;131.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Hourdis;2022;144.9
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2005;100.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2006;101.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2007;98.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2008;107.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2009;98.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2010;105.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2011;108.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2012;110.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2013;115.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2014;117.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2015;117.9
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2016;115.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2017;115.6
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2018;116.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2019;121.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2020;119.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2021;125.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Buse en béton ou PVC;2022;133.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2005;100.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2006;102.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2007;104.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2008;97.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2009;92.6
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2010;95.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2011;97.9
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2012;99.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2013;102.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2014;105.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2015;106.9
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2016;107.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2017;107.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2018;107.9
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2019;108.9
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2020;107.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2021;112.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;2022;117.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2005;100.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2006;109.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2007;126.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2008;116.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2009;120.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2010;119.6
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2011;120.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2012;121.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2013;114.4
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2014;111.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2015;111.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2016;116.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2017;118.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2018;118.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2019;124.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2020;122.6
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2021;133.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Poutres préfabriquées;2022;149.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2005;100.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2006;100.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2007;100.0
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2008;102.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2009;97.8
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2010;101.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2011;103.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2012;103.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2013;103.2
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2014;103.1
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2015;103.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2016;104.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2017;104.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2018;104.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2019;112.7
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2020;108.5
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2021;116.3
DRIOUCH;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Béton prêt à l'emploi;2022;125.9
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2005;100.0
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2006;103.8
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2007;110.7
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2008;107.8
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2009;108.1
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2010;112.0
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2011;113.9
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2012;116.1
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2013;115.3
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2014;114.7
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2015;114.1
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2016;114.9
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2017;116.2
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2018;115.8
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2019;121.6
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2020;118.4
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2021;126.5
DRIOUCH;Gros œuvre;Activité Agglomérés et articles en ciment ou PVC;Activité Agglomérés et articles en ciment ou PVC;2022;139.4
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2005;100.0
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2006;103.8
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2007;109.4
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2008;113.7
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2009;121.1
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2010;123.5
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2011;124.0
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2012;124.0
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2013;125.0
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2014;127.0
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2015;128.3
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2016;129.4
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2017;130.0
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2018;130.2
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2019;136.5
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2020;136.7
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2021;142.1
DRIOUCH;Gros œuvre;Ciment;CPJ 35;2022;146.5
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2005;100.0
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2006;104.7
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2007;109.2
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2008;118.2
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2009;117.8
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2010;120.2
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2011;121.8
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2012;122.2
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2013;125.0
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2014;127.8
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2015;129.7
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2016;130.9
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2017;131.2
DRIOUCH;Gros œuvre;Ciment;CPJ 45;2018;131.8
